p	Proteobacteria	Firmicutes	Actinobacteriota	Bacteroidota	Methanobacteriota	Desulfobacterota
Healthy	0.99950331749903	-0.738784727731408	0.162250669289265	1.12037516310008	-5	-0.154722075245364
Healthy	-1.28075160155205	-5	-5	1.85877539268605	-5	-5
Healthy	-5	-5	-5	1.76248500077786	-5	-5
Healthy	-5	-5	0.256147450368233	0.753566207633706	-5	-5
Healthy	0.916401830084926	-0.157278457372331	-0.0907114758377493	1.67342301960269	-5	-5
Healthy	-0.796070062755374	-0.493494967595128	-0.419576861588155	1.84256505913163	-5	-5
Healthy	0.445532593261974	-0.983091956027925	0.0263085008540707	1.49356483387704	-5	-1.35076252765039
Healthy	-1.03207779326948	-1.13288622016802	0.325930056738713	1.71315322488589	-5	-3.2839966563652
Healthy	-1.96617430604669	-1.71579493229821	-1.91470942176993	1.76828215948572	-5	-0.744076541267099
Healthy	0.254888708775947	-1.07083661679494	1.3700183746773	1.40912732608835	-5	-5
Healthy	0.253345275820191	-0.119826892692204	-0.00654613353633836	1.751024304759	-0.593527949534324	-1.83564714421556
Healthy	-5	1.1269644402306	1.07310257186231	1.3636531513135	-5	-5
Healthy	-0.85873840937791	-1.79425445905734	-0.434990895787404	1.83153801034881	-5	-1.14697138528701
Healthy	1.05839185658905	0.122641769625536	0.975725834319607	-0.56125202309777	-5	-5
Healthy	0.203449022518777	-0.755747626027527	-0.639539128949822	1.93835333049894	-5	-1.01269132626882
Healthy	0.444673910810744	-0.160232938160214	1.21581436433129	1.80841638682843	-5	-5
Healthy	-0.726050107449991	0.439799901220617	0.115287582718438	1.13997348798446	0.218461978766149	-5
Healthy	0.0757512871934784	-0.325074592106928	-0.64160824135098	1.54122030352031	0.90543588720795	-0.210553262965207
D065626	1.68516728422227	0.141622202678542	0.549089130976124	1.33267715527448	0.455230220580505	-5
Healthy	-0.72268882082597	-0.129479049987236	0.514227558292393	1.65610510465173	-5	-5
Healthy	1.22703810241191	0.457819850233151	0.473854687320379	1.43020829188859	-5	-5
Healthy	-1.12871902714203	-0.914780798955058	0.461473014609391	1.54534163593735	-5	-5
Healthy	-0.738404101517821	-1.64474009447262	-5	1.68276546649112	-5	-0.620730750526353
Healthy	1.37284206856713	0.723240523942585	1.12039984951751	1.31879954964682	-0.0989123766000521	-1.34208406317004
Healthy	0.360097118092937	0.357746230812359	0.53865038202935	1.10018575831703	-5	-5
Healthy	0.815012931185225	-0.686533527341765	-5	1.46493613135373	-0.265824467335679	-0.142926951366022
Healthy	-0.922268820347608	-0.304833651694131	1.00064358161876	1.53452703352098	-5	-5
Healthy	-0.370671966205419	-5	-5	1.82816042852175	-5	-5
Healthy	-0.940058111938045	-1.68423950933427	-0.863279432843593	1.66400962634643	-5	-0.606021397348228
Healthy	-5	-0.343039817257151	-0.460986665060487	1.32580085766442	-5	-5
Healthy	-0.366460851072662	0.213326465927919	-0.153199145720522	1.5976974889962	-0.194444773478747	-1.10941133229451
Healthy	-0.581831337932134	-0.74816718137136	1.40218999749517	1.23406807784543	-5	-5
Healthy	-0.713813083058962	-2.57348873863542	0.58524070644868	1.54045311221858	-0.743787541434838	-1.12644690648638
Healthy	-2.69680394257951	-1.43004118190341	0.808918910248124	1.75494401147996	-1.09044397075882	-0.986109939671561
Healthy	0.63423738469509	-0.885355661097721	0.221041079911257	1.73383868006618	-5	-1.09642170633695
Healthy	-0.0375264840391993	-0.529736553034922	1.49047300321867	1.39257878095216	-5	-1.81958736716168
Healthy	0.186603221792895	-1.75300930075845	-0.149347639409046	1.80276490252706	-0.726790316599669	-0.812310106474816
Healthy	0.345965457886395	-0.235375602149019	-0.461866312749331	1.71674927159693	-1.15187248943213	-1.03123695180275
Healthy	-0.530929447968747	0.0460149508590078	-0.0724294764176733	1.60700891850696	-5	-5
Healthy	-0.341635584312928	-0.0923522065996969	0.832641096937677	1.68234249553608	-5	-2.91721462968355
Healthy	-1.95233580539844	-1.03607057797344	0.86538413158512	1.74789136461658	-0.276363751548955	-1.23121395309199
